Portafoglio di sintesi;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Titolo;ISIN;Simbolo;Mercato;Strumento;Valuta;Quantità;P.zo medio di carico;Cambio di carico;Valore di carico;P.zo di mercato;Cambio di mercato;Valore di mercato €;Var%;Var €;Var in valuta;Rateo
CAMECO;CA13321L1085;CCJ.N;NYSE;Azione;USD;30,0;68,83123;1,1478;1.799,04;79,58;1,1742;2.033,21;13,02;234,18;322,46;0,00
CELESTICA SVTG;CA15101Q2071;CLS.N;NYSE;Azione;USD;22,0;93,20217;1,134299;1.807,68;170,24;1,1742;3.189,64;76,45;1.381,97;1.694,83;0,00
OCEANAGOLD;CA6752224007;OGC.TO;TSX;Azione;CAD;233,0;13,02427;1,546147;1.962,72;19,68;1,60875;2.850,31;45,22;887,59;1.550,79;0,00
ASML;NL0010273215;1ASML.MI;AFF;Azione;EUR;5,0;609,856;1,0;3.049,28;605,60;1,0;3.028,00;-0,70;-21,28;-21,28;0,00
APPLE;US0378331005;1AAPL.MI;AFF;Azione;EUR;23,0;186,00217;1,0;4.278,05;182,80;1,0;4.204,40;-1,72;-73,65;-73,65;0,00
CARVANA-A;US1468691027;CVNA.N;NYSE;Azione;USD;7,0;328,92061;1,1339;2.030,55;332,04;1,1742;1.979,46;-2,52;-51,09;21,84;0,00
LIFESTANCE HLTH;US53228F1012;LFST.O;NASDAQ;Azione;USD;500,0;4,25888;1,172599;1.816,00;4,14;1,1742;1.762,90;-2,92;-53,10;-59,44;0,00
PRUDENTIAL FINAN;US7443201022;PRU.N;NYSE;Azione;USD;20,0;102,95739;1,134299;1.815,35;105,215;1,1742;1.792,11;-1,28;-23,23;45,15;0,00
S&P GLOBAL;US78409V1044;SPGI.N;NYSE;Azione;USD;4,0;507,16695;1,1343;1.788,48;535,06;1,1742;1.822,72;1,91;34,25;111,57;0,00
SALESFORCE;US79466L3024;CRM.N;NYSE;Azione;USD;8,0;264,76303;1,133899;1.867,98;269,14;1,1742;1.833,69;-1,84;-34,29;35,02;0,00
TESLA;US88160R1014;1TSLA.MI;AFF;Azione;EUR;10,0;397,529;1,0;3.975,29;271,85;1,0;2.718,50;-31,62;-1.256,79;-1.256,79;0,00
VERA THERAPEUT RG-A;US92337R1014;VERA.O;NASDAQ;Azione;USD;100,0;31,82944;1,1339;2.807,08;21,81;1,1742;1.857,43;-33,83;-949,64;-1.001,94;0,00
CELLDEX THERAPTC;US15117B2025;CLDX.O;NASDAQ;Azione;USD;100,0;20,92689;1,147799;1.823,22;23,35;1,1742;1.988,59;9,07;165,37;242,31;0,00
NVIDIA;US67066G1040;1NVDA.MI;AFF;Azione;EUR;52,0;118,48307;1,0;6.161,12;148,18;1,0;7.705,36;25,06;1.544,24;1.544,24;0,00
;;;;;;;;;;;;;;;;
Totale;;;;;;;;;;;Valore di carico;Valore di mercato;Var%;Var;;
EUR;;;;;;;;;;;36.981,83;38.766,34;4,83;1.784,51;;