symbol,value_score,growth_score,quality_score,analyst_score,composite_score,sentiment_normalized,behavioral_composite,fundamental_weighted,behavioral_weighted,market_score,market_weighted,integrated_score,sector,sector_relative_integrated,risk_adjusted_score
MAX,0.2238219895287957,0.3174,0.6566650055010774,0.6518382352941176,0.4410304952927316,0.5021274603903294,0.5014892222732306,0.3087213467049121,0.10029784445464612,0.5,0.05,0.4590191911595582,Communication Services,0.5,0.4590191911595582
RCI,0.4764397905759162,0.1048,0.6138733239589995,0.5268814466783217,0.4279765574981891,0.5451361361302828,0.5315952952911979,0.2995835902487323,0.10631905905823957,0.5,0.05,0.4559026493069719,Communication Services,0.25,0.4559026493069719
XPO,0.1740837696335078,0.2007999999999999,0.5485201235066981,0.4,0.3195551617667269,0.5568786122969218,0.5398150286078452,0.2236886132367088,0.10796300572156906,0.5,0.05,0.38165161895827787,Industrials,0.2,0.38165161895827787
NX,0.4306282722513088,0.3314,0.5920228015932882,0.6963383838383839,0.4993118588413915,0.6605405747890473,0.6123784023523331,0.34951830118897403,0.12247568047046663,0.5,0.05,0.5219939816594407,Industrials,1.0,0.5219939816594407
DDOG,0.0,0.1658,0.7799895988152773,0.4004671649759743,0.3165408326990142,0.5669864392280578,0.5468905074596404,0.2215785828893099,0.10937810149192809,0.5,0.05,0.380956684381238,Technology,0.3333333333333333,0.380956684381238
TNC,0.3324607329842931,0.0864,0.694564390762914,0.6810800604229608,0.4311953296706086,0.2768687353684352,0.3438081147579046,0.30183673076942596,0.06876162295158093,0.5,0.05,0.4205983537210069,Industrials,0.4,0.4205983537210069
PHX,0.4280104712041884,0.2017999999999999,0.88350876691692,0.5,0.4997303330904865,0.5,0.5,0.3498112331633405,0.1,0.5,0.05,0.4998112331633405,Energy,0.3333333333333333,0.4998112331633405
CRNT,0.6845549738219894,0.1004,0.7350097522692538,0.75,0.5642189302139102,0.5,0.5,0.3949532511497371,0.1,0.5,0.05,0.5449532511497371,Technology,1.0,0.5449532511497371
PRU,0.4424083769633507,0.0402,0.5763866057573429,0.335263995817888,0.3539219636919185,0.5163635434775516,0.5114544804342861,0.24774537458434293,0.10229089608685722,0.5,0.05,0.4000362706712001,Financial Services,0.16666666666666666,0.4000362706712001
BHVN,0.3298429319371727,0.0,0.2,0.75,0.2989528795811518,0.7224954962730408,0.6557468473911285,0.20926701570680625,0.13114936947822572,0.5,0.05,0.39041638518503197,Healthcare,0.2,0.39041638518503197
ARDT,0.6060209424083769,0.2784,0.6980943676805607,0.7875452079566003,0.5834389162339733,0.6126852536201477,0.5788796775341034,0.40840724136378126,0.11577593550682069,0.5,0.05,0.574183176870602,Healthcare,1.0,0.574183176870602
HRTG,0.6623036649214659,0.444,0.6737324150605741,0.812840136054422,0.6406922304524677,0.784662766116006,0.6992639362812042,0.44848456131672737,0.13985278725624084,0.5,0.05,0.6383373485729682,Financial Services,0.8333333333333334,0.6383373485729682
ARX,1.0,0.2508,0.7864906624046931,0.5,0.6593226656011733,0.5052229622999826,0.5036560736099879,0.46152586592082123,0.10073121472199759,0.5,0.05,0.6122570806428189,Financial Services,0.6666666666666666,0.6122570806428189
CC,0.2408376963350785,0.1008,0.5086805202581332,0.4476799576570219,0.3141574304964612,0.23371141050991262,0.3135979873569388,0.21991020134752284,0.06271959747138776,0.5,0.05,0.3326297988189106,Basic Materials,1.0,0.3326297988189106
CRM,0.175392670157068,0.219,0.8653208438122391,0.4850558321875812,0.4207091784376964,0.6086039033498657,0.576022732344906,0.29449642490638744,0.1152045464689812,0.5,0.05,0.45970097137536864,Technology,0.6666666666666666,0.45970097137536864
ACCO,0.4594240837696334,0.0768,0.5796145172849365,0.75,0.4519308544521241,0.47003645181655884,0.4790255162715912,0.31635159811648683,0.09580510325431824,0.5,0.05,0.46215670137080506,Industrials,0.6,0.46215670137080506
META,0.1897905759162303,0.3052,0.8952240292568258,0.5588658303867093,0.4688163461664174,0.5478607609627708,0.5335025326739395,0.32817144231649215,0.10670050653478791,0.5,0.05,0.48487194885128004,Communication Services,0.75,0.48487194885128004
AHL,0.8102094240837696,0.11,0.7512433228343617,0.5178291536050157,0.5619394886547244,0.5,0.5,0.3933576420583071,0.1,0.5,0.05,0.5433576420583072,Financial Services,0.3333333333333333,0.5433576420583072
UTZ,0.231675392670157,0.1032,0.6347527586572902,0.5735335195530726,0.3686975113759841,0.27665301064650216,0.3436571074525515,0.25808825796318885,0.0687314214905103,0.5,0.05,0.37681967945369915,Consumer Defensive,0.5,0.37681967945369915
PMTS,0.6910994764397905,0.1934,0.7016841967939589,0.75,0.5811008921304268,0.6298087728023529,0.590866140961647,0.40677062449129875,0.11817322819232941,0.5,0.05,0.5749438526836282,Financial Services,0.5,0.5749438526836282
DDL,0.8102094240837696,0.1456,0.5726371566441952,0.7759661434977579,0.5778153450857313,0.7077114641666412,0.6453980249166488,0.4044707415600119,0.12907960498332977,0.5,0.05,0.5835503465433417,Consumer Defensive,1.0,0.5835503465433417
SLP,0.1649214659685863,0.1196,0.8045914042493048,0.9,0.4605242908529021,0.4775802929293026,0.4843062050505118,0.32236700359703147,0.09686124101010236,0.5,0.05,0.4692282446071338,Healthcare,0.6,0.4692282446071338
UAL,0.5418848167539266,0.1534,0.6072513884672772,0.5,0.4527282921429972,0.528578850468703,0.5200051953280921,0.31690980450009804,0.10400103906561842,0.5,0.05,0.47091084356571644,Industrials,0.8,0.47091084356571644
INSW,0.7617801047120419,0.0336,0.7939331207919164,0.698829774025329,0.5751832664166574,0.5350474223494529,0.524533195644617,0.40262828649166016,0.1049066391289234,0.5,0.05,0.5575349256205836,Energy,1.0,0.5575349256205836
CLDX,0.4240837696335078,0.5,0.6326687199002847,0.8922644539614559,0.5888452016574147,0.22732229133447013,0.3091256039341291,0.4121916411601903,0.06182512078682582,0.5,0.05,0.5240167619470162,Healthcare,0.8,0.5240167619470162
VERA,0.400523560209424,0.0,0.5854726968226995,0.4716013296652911,0.3608455082015603,0.5,0.5,0.2525918557410922,0.1,0.5,0.05,0.4025918557410922,Healthcare,0.4,0.4025918557410922
MPAA,0.4476439790575915,0.1038,0.579839335226919,0.6362232289950576,0.4324476733230187,0.5929279978076617,0.5650495984653632,0.3027133713261131,0.11300991969307264,0.5,0.05,0.4657232910191857,Consumer Cyclical,1.0,0.4657232910191857
FINV,0.8900523560209423,0.3124,0.9665163150891134,0.834428201901566,0.7536304259588742,0.5993805030981699,0.5695663521687189,0.5275412981712119,0.11391327043374377,0.5,0.05,0.6914545686049557,Financial Services,1.0,0.6914545686049557
CRTO,0.7054973821989527,0.6006,0.8339537233627569,0.6873711340206186,0.7077618723044987,0.5069473095238208,0.5048631166666746,0.49543331061314905,0.10097262333333493,0.5,0.05,0.646405933946484,Communication Services,1.0,0.646405933946484
DVN,0.675392670157068,0.2066,0.7305879262703519,0.5886384335154828,0.5546424693178049,0.5767119351105812,0.5536983545774068,0.3882497285224634,0.11073967091548137,0.5,0.05,0.5489893994379448,Energy,0.6666666666666666,0.5489893994379448
