symbol,pe_ratio,pb_ratio,ev_ebitda,fcf_yield,revenue_growth,eps_growth,earnings_growth,roe,roa,gross_margin,debt_to_equity,recommendation,target_mean,target_low,target_high,num_analysts,sector,industry,market_cap,current_price,value_score,growth_score,quality_score,analyst_score,composite_score,composite_rank,composite_percentile,sector_relative_score,sentiment_score,behavioral_score,technical_score,risk_adjusted_sentiment,integrated_score,integrated_rank,integrated_percentile
MAX,37.517242,59.53878279000005,8.483,0.0746216678395811,1.087,,,,0.22512,0.16115,,buy,16.07143,12.0,24.0,7.0,Communication Services,Internet Content & Information,713891200,10.88,0.2238219895287957,0.3174,0.6566650055010774,0.6518382352941176,0.4410304952927316,19.0,0.4,0.5,0.5021274603903294,,,0.4017019683122635,,,
RCI,16.741463,1.6524628,6.843,0.1368299578005521,0.024,-0.5,-0.604,0.10616,0.04282,0.46601,254.128,buy,38.17043,30.991314,48.701366,3.0,Communication Services,Telecom Services,18880186368,34.32,0.4764397905759162,0.1048,0.6138733239589995,0.5268814466783217,0.4279765574981891,22.0,0.3,0.25,0.5451361361302828,,,0.4361089089042262,,,
XPO,42.556923,9.933922,16.626,0.0041656729524161,-0.032,0.036,0.036,0.26178,0.058130004,0.17507,252.134,buy,135.5,85.0,155.0,26.0,Industrials,Trucking,16293885952,138.31,0.1740837696335078,0.2007999999999999,0.5485201235066981,0.4,0.3195551617667269,27.0,0.1333333333333333,0.2,0.5568786122969218,,,0.44550288983753744,,,
NX,53.51351,0.9036969,11.673,-0.1831743614795178,0.7,-0.043,-0.043,0.02177,0.02895,0.25332,92.511,none,33.75,28.0,38.0,4.0,Industrials,Building Products & Equipment,910269312,19.8,0.4306282722513088,0.3314,0.5920228015932882,0.6963383838383839,0.4993118588413915,14.0,0.5666666666666667,1.0,0.6605405747890473,,,0.5284324598312378,,,
DDOG,268.9252175999999,17.719961,456.9952000000005,0.015286090357119,0.246,-0.417,-0.417,0.06476,0.00368,0.80151004,64.364,buy,148.102,105.0,200.0,40.0,Technology,Software - Application,51747692544,149.84,0.0,0.1658,0.7799895988152773,0.4004671649759743,0.3165408326990142,28.0,0.1,0.3333333333333333,0.5669864392280578,,,0.45358915138244627,,,
TNC,23.114525,2.4786582,10.61,0.067092532536995,-0.068,-0.5,-0.537,0.110139996,0.05687,0.42071998,39.914,none,120.0,115.0,125.0,2.0,Industrials,Specialty Industrial Machinery,1543577088,82.75,0.3324607329842931,0.0864,0.694564390762914,0.6810800604229608,0.4311953296706086,21.0,0.3333333333333333,0.4,0.2768687353684352,,,0.22149498829474817,,,
PHX,22.894737,1.2652705,12.569,0.0609760590823491,0.509,,,0.05552,0.0185,0.83515,16.237,none,,,,,Energy,Oil & Gas E&P,164962432,4.35,0.4280104712041884,0.2017999999999999,0.88350876691692,0.5,0.4997303330904865,13.0,0.6,0.3333333333333333,,,,,,,
CRNT,8.807693,1.2167907,4.124,0.0522037897675396,0.002,,,0.15019,0.078940004,0.33951,24.413,none,6.125,4.5,10.0,4.0,Technology,Communication Equipment,203649008,2.29,0.6845549738219894,0.1004,0.7350097522692538,0.75,0.5642189302139102,10.0,0.7,1.0,0.5,,,0.4,,,
PRU,16.594637,1.2463572,17.45,-0.4401790007209913,-0.427,-0.372,-0.372,0.07908,0.00234,0.25792998,148.073,hold,115.5,88.0,136.0,14.0,Financial Services,Insurance - Life,37245075456,105.21,0.4424083769633507,0.0402,0.5763866057573429,0.335263995817888,0.3539219636919185,26.0,0.1666666666666666,0.1666666666666666,0.5163635434775516,,,0.41309083478204134,,,
BHVN,268.9252175999999,5.312869,-1.207,-0.2858840936588011,,,,-3.1682198,-1.29994,0.0,13.685,none,54.21,21.0,75.0,15.0,Healthcare,Biotechnology,1378525440,13.5,0.3298429319371727,0.0,0.2,0.75,0.2989528795811518,30.0,0.0333333333333333,0.2,0.7224954962730408,,,0.5779963970184326,,,
ARDT,6.583334,1.346154,6.889,0.0259422540853094,0.04,0.352,0.352,0.23347999,0.05222,0.57324004,145.792,buy,20.23636,14.6,24.0,11.0,Healthcare,Medical Care Facilities,1582066688,11.06,0.6060209424083769,0.2784,0.6980943676805607,0.7875452079566003,0.5834389162339733,6.0,0.8333333333333334,0.8,0.6126852536201477,0.664650872756517,0.742599301461071,0.49014820289611816,0.5944128340308237,7.0,0.7
HRTG,8.134387,1.8552239,2.455,0.0447250180935058,0.106,1.114,1.114,0.27587,0.03262,0.24213,36.135,buy,29.0,28.0,30.0,2.0,Financial Services,Insurance - Property & Casualty,637842112,20.58,0.6623036649214659,0.444,0.6737324150605741,0.812840136054422,0.6406922304524677,4.0,0.9,0.6666666666666666,0.784662766116006,0.7657184838209463,0.7373020603783569,0.6277302128928048,0.6706525920386212,3.0,0.9
ARX,2.748155,-0.9812577,-16.445,0.0,0.365,-0.111,-0.111,,,0.57143,26.739,none,,,,,Financial Services,Insurance Brokers,6553413120,29.79,1.0,0.2508,0.7864906624046931,0.5,0.6593226656011733,3.0,0.9333333333333332,0.8333333333333334,0.5052229622999826,0.6562925090207173,0.8828968291018193,0.4041783698399861,0.6330506968799405,4.0,0.85
CC,78.72222,3.6605527,8.446,-0.0480342920193755,0.004,,,0.04198,0.033180002,0.19057,755.345,buy,14.88889,11.0,18.0,9.0,Basic Materials,Specialty Chemicals,2120880640,14.17,0.2408376963350785,0.1008,0.5086805202581332,0.4476799576570219,0.3141574304964612,29.0,0.0666666666666666,1.0,0.23371141050991262,0.3098650077416615,0.4240954035892848,0.1869691284079301,0.30036549459890816,20.0,0.05
CRM,42.18025,4.249597,22.477,0.0560886331972251,0.076,0.019,0.019,0.10312,0.050869998,0.77336997,19.813,buy,350.04083,225.0,440.0,49.0,Technology,Software - Application,257269153792,269.11,0.175392670157068,0.219,0.8653208438122391,0.4850558321875812,0.4207091784376964,23.0,0.2666666666666666,0.6666666666666666,0.6086039033498657,0.593777738937595,0.571538492319189,0.48688312267989253,0.4705937129868906,14.0,0.35
ACCO,268.9252175999999,0.5946187,6.641,0.4394813515570587,-0.116,,,-0.15902,0.03346,0.3352,168.834,none,9.66667,6.0,12.0,3.0,Industrials,Business Equipment & Supplies,360396416,4.0,0.4594240837696334,0.0768,0.5796145172849365,0.75,0.4519308544521241,18.0,0.4333333333333333,0.6,0.47003645181655884,0.4809928877519828,0.49742754165511865,0.37602916145324705,0.4516061934772011,17.0,0.2
META,27.849941,9.717878,20.132,0.0204580274319557,0.161,0.365,0.365,0.39835,0.17879999,0.81767,26.763,strong_buy,754.57886,566.0,935.0,62.0,Communication Services,Internet Content & Information,1791912706048,712.68,0.1897905759162303,0.3052,0.8952240292568258,0.5588658303867093,0.4688163461664174,15.0,0.5333333333333333,0.75,0.5478607609627708,0.4971516748986162,0.42108804580238435,0.43828860877021664,0.47284740460984703,12.0,0.45
AHL,5.0796175,1.1634268,3.576,0.0,0.05,-0.5,-0.797,0.13481,,0.30778998,11.694,none,40.125,36.0,45.0,8.0,Financial Services,Insurance - Property & Casualty,2929644800,31.9,0.8102094240837696,0.11,0.7512433228343617,0.5178291536050157,0.5619394886547244,11.0,0.6666666666666666,0.3333333333333333,0.5,0.6377093540979057,0.8442733852447644,0.4,0.5646880061500474,10.0,0.55
UTZ,43.393936,1.6984937,22.745,0.0143684503997854,0.016,,,0.02458,0.012460001,0.34876,74.569,buy,17.3,14.0,20.0,10.0,Consumer Defensive,Packaged Foods,1232404992,14.32,0.231675392670157,0.1032,0.6347527586572902,0.5735335195530726,0.3686975113759841,24.0,0.2333333333333333,0.5,0.27665301064650216,0.41950838003543434,0.6337914341188327,0.22132240851720172,0.36666271825496843,19.0,0.1
PMTS,13.291139,-7.972665,6.656,0.0869037579534339,0.097,-0.13,-0.13,,0.116780005,0.37087002,,none,36.75,34.0,40.0,4.0,Financial Services,Credit Services,236911504,21.0,0.6910994764397905,0.1934,0.7016841967939589,0.75,0.5811008921304268,7.0,0.8,0.5,0.6298087728023529,0.6785326847907476,0.7516185527733397,0.5038470182418824,0.5977334529066526,6.0,0.75
DDL,11.736842,0.585917,-2.002,1.3535447790834998,0.091,-0.363,-0.363,0.40240002,0.01942,0.29962,294.827,buy,3.4480665,2.9024472,4.424757,3.0,Consumer Defensive,Grocery Stores,483397120,2.23,0.8102094240837696,0.1456,0.5726371566441952,0.7759661434977579,0.5778153450857313,8.0,0.7666666666666667,1.0,0.7077114641666412,0.7249843271479285,0.7508936216198594,0.566169171333313,0.6134429732260388,5.0,0.8
SLP,268.9252175999999,2.1501706,18.287,0.0322919517659355,0.098,,,-0.41487998,0.027449999,0.53745,0.581,buy,25.33333,20.0,31.0,3.0,Healthcare,Health Information Services,266281520,13.23,0.1649214659685863,0.1196,0.8045914042493048,0.9,0.4605242908529021,16.0,0.5,0.6,0.4775802929293026,0.5033243893831583,0.5419405340639417,0.38206423434344206,0.46337830983452016,15.0,0.3
UAL,9.138415,2.2060533,5.605,0.0787797067122234,0.017,-0.25,-0.25,0.27708,0.04586,0.34657001,245.166,strong_buy,105.85714,43.0,130.0,21.0,Industrials,Airlines,29495222272,91.11,0.5418848167539266,0.1534,0.6072513884672772,0.5,0.4527282921429972,17.0,0.4666666666666667,0.8,0.528578850468703,0.5447545197645705,0.5690180237083717,0.4228630803749624,0.47274832787158705,13.0,0.4
INSW,6.233746,1.0620567,5.702,0.046695854050892,-0.332,-0.5,-0.658,0.17567,0.07778,0.61454,32.848,strong_buy,53.8,41.0,70.0,5.0,Energy,Oil & Gas Midstream,1986849280,40.27,0.7617801047120419,0.0336,0.7939331207919164,0.698829774025329,0.5751832664166574,9.0,0.7333333333333333,1.0,0.5350474223494529,0.6018255411448632,0.7019927193379788,0.42803793787956235,0.5671293022449992,8.0,0.65
CLDX,268.9252175999999,2.2049103,-4.115,-0.0652043613828053,2.0,,,-0.23202999,-0.16882,0.0,0.488,strong_buy,58.53846,31.0,90.0,13.0,Healthcare,Biotechnology,1550304640,23.35,0.4240837696335078,0.5,0.6326687199002847,0.8922644539614559,0.5888452016574147,5.0,0.8666666666666667,1.0,0.22732229133447013,0.2985367626696267,0.40535846967236155,0.1818578330675761,0.4755693550514839,11.0,0.5
VERA,268.9252175999999,2.599833,-4.431,-0.0698363833114649,,,,-0.39494,-0.23464,0.0,10.18,none,63.35714,23.0,100.0,14.0,Healthcare,Biotechnology,1390915328,21.81,0.400523560209424,0.0,0.5854726968226995,0.4716013296652911,0.3608455082015603,25.0,0.2,0.4,0.5,0.5503345154344295,0.6258362885860737,0.4,0.4121332091896216,18.0,0.15
MPAA,268.9252175999999,0.91560453,6.48,0.1656568004612243,0.019,,,-0.07174,0.03542,0.20311001,79.341,none,16.0,16.0,16.0,1.0,Consumer Cyclical,Auto Parts,235949408,12.14,0.4476439790575915,0.1038,0.579839335226919,0.6362232289950576,0.4324476733230187,20.0,0.3666666666666666,1.0,0.5929279978076617,0.5036228695641249,0.36966517719881975,0.47434239824612934,0.4544309448756063,16.0,0.25
FINV,6.4316545,0.14643495,0.446,1.6003994263303174,0.1,0.462,0.462,0.17514,0.19665001,0.79204005,0.374,strong_buy,11.850343,11.041661,13.270364,7.0,Financial Services,Credit Services,2265521152,8.94,0.8900523560209423,0.3124,0.9665163150891134,0.834428201901566,0.7536304259588742,1.0,1.0,1.0,0.5993805030981699,0.7385108863202268,0.9472064611533119,0.47950440247853593,0.7224379387011785,1.0,1.0
CRTO,9.540983,1.1714387,3.543,0.1960972052986477,0.003,2.0,4.5,0.13453001,0.057729997,0.51829,10.062,buy,40.41667,27.0,54.0,12.0,Communication Services,Advertising Agencies,1237143424,23.28,0.7054973821989527,0.6006,0.8339537233627569,0.6873711340206186,0.7077618723044987,2.0,0.9666666666666668,1.0,0.5069473095238208,0.6904181834869213,0.965624494431572,0.40555784761905667,0.6732055476315602,2.0,0.95
DVN,7.5034165,1.4584901,3.762,-0.0760610540763638,0.216,-0.183,-0.183,0.20963,0.09558,0.52443004,60.969,buy,44.39286,33.0,66.0,28.0,Energy,Oil & Gas E&P,21150771200,32.94,0.675392670157068,0.2066,0.7305879262703519,0.5886384335154828,0.5546424693178049,12.0,0.6333333333333333,0.6666666666666666,0.5767119351105812,0.6408568879317675,0.737074317163547,0.4613695480884649,0.5668687818483616,9.0,0.6
